Diseases,Symptoms
endometriosis,"pain (0.567), nausea (0.287), abdominal pain (0.202), pelvic pain (0.142), vomiting (0.113), diarrhea (0.077), cramping (0.076), tenderness (0.070), bleeding (0.057), vaginal bleeding (0.053), constipation (0.047), lower abdominal pain (0.046), cyst (0.037), chills (0.034), spotting (0.026), vaginal discharge (0.021), flank pain (0.019), severe pain (0.017), pain in lower abdomen (0.016), depression (0.016), sadness (0.016), acute episodes (0.014), loss of appetite (0.014), vaginal pain (0.012), pain during urination (0.012), discomfort (0.012), lethargy (0.011), bleeding from anus (0.010), fatigue (0.010)"
epididymitis,"testicle pain (0.577), pain (0.567), swelling (0.283), tenderness (0.156), groin pain (0.126), infection (0.098), pain during urination (0.082), chills (0.062), blood in urine (0.055), nausea (0.053), redness (0.052), discomfort (0.040), lump (0.040), lower abdominal pain (0.030), fever (0.027), cyst (0.023), severe pain (0.019), vomiting (0.018), flank pain (0.015), drooping of upper eyelid (0.014), rectal pain (0.013), pelvic pain (0.011), frequent urge to urinate (0.011)"
epilepsy,"seizures (0.604), confusion (0.059), headache (0.053), depression (0.048), sadness (0.048), brief visual or sensory abnormality (0.046), mental confusion (0.044), weakness (0.040), anxiety (0.028), falling (0.018), incontinence (0.017), lethargy (0.016), dizziness (0.014), fainting (0.013), weakness of one side of the body (0.012), leaking of urine (0.012), agitation (0.012), unsteady gait (0.011), tremor (0.008), infection (0.008), fast heart rate (0.007), tenderness (0.007), problems with coordination (0.007), low blood pressure (0.006), sleepiness (0.006)"
esophageal cancer,"nausea (0.138), weakness (0.103), vomiting (0.099), difficulty swallowing (0.072), abdominal pain (0.065), lethargy (0.065), fatigue (0.063), dehydration (0.060), coughing (0.049), fast heart rate (0.048), shortness of breath (0.045), low blood pressure (0.043), failure to thrive (0.024), vomiting blood (0.023), weight loss (0.021), lightheadedness (0.018), diarrhea (0.017), phlegm (0.015), constipation (0.014), fever (0.013), back pain (0.012), rib pain (0.012), belching (0.012), malaise (0.011), redness (0.011), dark urine (0.010), yellow skin and eyes (0.008), gagging (0.008)"
fibroids,"pain (0.423), bleeding (0.201), vaginal bleeding (0.181), abdominal pain (0.136), nausea (0.125), cramping (0.099), pelvic pain (0.073), tenderness (0.073), heavy or prolonged periods (0.053), cyst (0.053), spotting (0.051), lower abdominal pain (0.047), chills (0.045), pain during urination (0.034), lightheadedness (0.033), dizziness (0.031), constipation (0.030), fever (0.029), discomfort (0.028), vaginal discharge (0.026)"
fibromyalgia,"pain (0.381), depression (0.112), sadness (0.112), nausea (0.106), back pain (0.068), anxiety (0.068), weakness (0.045), chills (0.035), abdominal pain (0.033), headache (0.025), numbness (0.025), lethargy (0.025), chronic back pain (0.022), fatigue (0.020), diarrhea (0.020), acute episodes (0.019), tenderness (0.016), arm pain (0.016), infection (0.014), constipation (0.013), neck pain (0.012), flank pain (0.011), incontinence (0.011), discomfort (0.011), shoulder pain (0.010), leg pain (0.010), leaking of urine (0.010), knee pain (0.010), hip pain (0.009), fever (0.009), chest tightness (0.009), dizziness (0.008), muscle pain (0.008), crying (0.008), vertigo (0.007), severe pain (0.007), dehydration (0.007), bruising (0.006), pelvic pain (0.006), sensitivity to light (0.006), chest pressure (0.005), lesion (0.005)"
gallstones,"pain (0.663), nausea (0.281), abdominal pain (0.227), pain in upper abdomen (0.117), vomiting (0.113), chills (0.057), tenderness (0.043), abdominal cramping from gallstones (0.031), yellow skin and eyes (0.025), pain in upper-right abdomen (0.025), diarrhea (0.025), fever (0.023), flank pain (0.020), upper abdominal pain (0.020), constipation (0.015), discomfort (0.014), dark urine (0.011), loss of appetite (0.010), severe pain (0.009), belching (0.007), discomfort in upper abdomen (0.007), intermittent pain (0.006), cyst (0.006)"
gastritis,"pain (0.420), nausea (0.284), vomiting (0.198), abdominal pain (0.184), pain in upper abdomen (0.162), diarrhea (0.080), chills (0.048), vomiting blood (0.029), tenderness (0.028), discomfort (0.027), constipation (0.022), cramping (0.021), anxiety (0.019), discomfort in upper abdomen (0.018), depression (0.016), sadness (0.016), dizziness (0.014), dark stool from digested blood (0.013), weight loss (0.012), upper abdominal pain (0.012)"
gastroparesis,"pain (0.517), vomiting (0.516), nausea (0.468), abdominal pain (0.292), acute episodes (0.049), pain in upper abdomen (0.048), diarrhea (0.039), gagging (0.022), depression (0.020), sadness (0.019), dehydration (0.019), constipation (0.015), fast heart rate (0.015), anxiety (0.015), tenderness (0.014), cramping (0.012), upper abdominal pain (0.012), chills (0.009), discomfort (0.008), severe anxiety (0.007), crying (0.007), abdominal tenderness (0.007), loss of appetite (0.007), flank pain (0.006)"
glaucoma,"eye pain (0.082), vision loss (0.060), headache (0.036), redness (0.031), blurred vision (0.030), eye redness (0.021), depression (0.018), sadness (0.018), infection (0.016), weakness (0.015), fainting (0.014), bone loss (0.014)"
goiter,"weakness (0.055), racing heartbeat (0.055), lump (0.045), neck pain (0.044), shortness of breath (0.042), cyst (0.038), dizziness (0.031), difficulty swallowing (0.031), sore throat (0.030), ear pain (0.028), chills (0.028), memory loss (0.023), chest pressure (0.022), fast heart rate (0.022), neck swelling (0.020), indigestion (0.019)"
gout,"pain (0.274), swelling (0.246), redness (0.103), acute episodes (0.097), foot pain (0.092), knee pain (0.073), ankle pain (0.053), toe pain (0.045), wrist pain (0.022), infection (0.021), elbow pain (0.017), tenderness (0.017), leg pain (0.017), hand pain (0.016), joint pain (0.014), fever (0.011), hand swelling (0.010), difficulty walking (0.009), hip pain (0.008), kidney failure (0.008), limping (0.007), chills (0.007), arm pain (0.006), lump on the skin or joint (0.006), swollen knee (0.005)"
groin hernia,"pain (0.502), groin pain (0.144), abdominal pain (0.075), swelling (0.054), nausea (0.052), constipation (0.043), vomiting (0.040), lump (0.040), testicle pain (0.036), discomfort (0.035), bowel obstruction (0.021), sharp pain (0.019), tenderness (0.016), urinary retention (0.016), diarrhea (0.015), lower abdominal pain (0.013), chills (0.013)"
heart attack,"pain (0.177), nausea (0.104), anxiety (0.052), chest pressure (0.047), shortness of breath (0.041), racing heartbeat (0.035), shoulder pain (0.032), chest discomfort (0.030), numbness (0.028), discomfort (0.024), dizziness (0.022), arm pain (0.020), depression (0.020), sadness (0.020), pain in upper abdomen (0.018), neck pain (0.017), chest tightness (0.014), jaw pain (0.014), vomiting (0.013), discomfort in upper abdomen (0.012), indigestion (0.010), low blood pressure (0.010), lesion (0.009), weight gain (0.009), agitation (0.008), fluid in the lungs (0.008), malnutrition (0.008), fainting (0.007), arm discomfort (0.006), weakness (0.006), slow heart rate (0.006), lightheadedness (0.006), drooping of upper eyelid (0.006), stuffy nose (0.006), difficulty breathing (0.005), diarrhea (0.005)"
hepatitis a,"pain (0.216), nausea (0.167), abdominal pain (0.124), vomiting (0.112), diarrhea (0.100), yellow skin and eyes (0.089), fever (0.087), chills (0.061), dark urine (0.047), tenderness (0.034), lethargy (0.030), fatigue (0.029), pain in upper abdomen (0.026), loss of appetite (0.024), depression (0.021), sadness (0.021), fluid in the abdomen (0.021), coughing (0.019), skin rash (0.018), weakness (0.017), night sweats (0.014), infection (0.014), itching (0.012)"
hepatitis b,"abdominal pain (0.051), chills (0.035), lethargy (0.032), back pain (0.027), nausea (0.027), fatigue (0.027), weakness (0.024), yellow skin and eyes (0.023), dizziness (0.020), fluid in the abdomen (0.019), depression (0.017), sadness (0.017), discomfort (0.014), infection (0.012), constipation (0.011), cough with phlegm (0.011), lesion (0.010), coughing (0.010), diarrhea (0.010), fever (0.010), vomiting blood (0.010), chronic back pain (0.008)"
hepatitis c,"pain (0.112), depression (0.063), sadness (0.063), abdominal pain (0.047), nausea (0.037), chills (0.033), diarrhea (0.025), anxiety (0.024), infection (0.022), fever (0.021), vomiting (0.020), confusion (0.018), substance abuse (0.017), fluid in the abdomen (0.015), lethargy (0.014), thoughts of suicide (0.013), coughing (0.013), back pain (0.010), fatigue (0.010), yellow skin and eyes (0.010), mental confusion (0.009), chronic back pain (0.009)"
hiatal hernia,"pain (0.157), nausea (0.144), vomiting (0.095), abdominal pain (0.076), depression (0.037), sadness (0.037), constipation (0.035), diarrhea (0.032), pain in upper abdomen (0.028), shortness of breath (0.027), chills (0.026), discomfort (0.024), weakness (0.021), chest pressure (0.018), anxiety (0.017), tenderness (0.016), fainting (0.015), weakness of one side of the body (0.015), back pain (0.015)"
high blood pressure,"headache (0.052), sadness (0.041), depression (0.041), dizziness (0.032), shortness of breath (0.029), anxiety (0.021), lightheadedness (0.016), fainting (0.014), regurgitation (0.012), weakness (0.011)"
high cholesterol,"nausea (0.027), sadness (0.027), weakness (0.027), depression (0.027), dizziness (0.026), fainting (0.019), discomfort (0.018), anxiety (0.018), shortness of breath (0.014), lethargy (0.013)"
hiv/aids,"coughing (0.080), depression (0.059), sadness (0.059), fever (0.056), cough with phlegm (0.044), chills (0.038), confusion (0.035), infection (0.034), oral thrush (0.033), vomiting (0.032), mental confusion (0.031), shortness of breath (0.029), nausea (0.029), lethargy (0.028), weakness (0.027), lesion (0.023), skin rash (0.022), low blood pressure (0.017), dry cough (0.016), fatigue (0.015), diarrhea (0.015), constipation (0.015), leg pain (0.014), difficulty swallowing (0.013), malaise (0.012), abdominal pain (0.011), watery diarrhea (0.011), seizures (0.010), falling (0.009), anxiety (0.009), fast breathing (0.009), kidney failure (0.008)"
hives,"skin rash (0.334), itching (0.222), swelling (0.166), redness (0.098), facial swelling (0.043), tongue swelling (0.024), shortness of breath (0.020), difficulty swallowing (0.019), wheezing (0.019), raised area of skin (0.016), swelling under the skin (0.016), red rashes (0.016), difficulty breathing (0.015), chest tightness (0.012), sore throat (0.012), hand swelling (0.010), lump (0.008)"
hyperthyroidism,"racing heartbeat (0.117), fast heart rate (0.075), dizziness (0.070), weight loss (0.055), anxiety (0.046), depression (0.036), sadness (0.036), vomiting (0.031), nausea (0.030), fainting (0.029), shortness of breath (0.024), lethargy (0.023), abdominal pain (0.023), fatigue (0.021), weakness (0.021), sharp pain (0.019), loss of appetite (0.018), low blood pressure (0.018), swelling (0.018), chest tightness (0.017), vertigo (0.016), dehydration (0.015), wheezing (0.014), constipation (0.013), panic attack (0.013), bruising (0.012), headache (0.010), lightheadedness (0.010), infection (0.010)"
hypoglycemia,"confusion (0.073), fainting (0.053), seizures (0.050), weakness (0.039), mental confusion (0.027), slurred speech (0.022), low blood pressure (0.022), low body temperature (0.019), depression (0.015), sadness (0.015), loss of appetite (0.012), dizziness (0.011), lethargy (0.011), kidney failure (0.009), lightheadedness (0.009), sweating (0.008), unsteady gait (0.007), slow heart rate (0.006), snoring (0.006), dehydration (0.006), weight loss (0.006), anxiety (0.005), sleepiness (0.005), diarrhea (0.004), coma (0.004), poor appetite (0.004), blurred vision (0.004), low oxygen in the body (0.003), feeling cold (0.003), malnutrition (0.003), wandering and getting lost (0.003), thirst (0.003), drooling (0.003)"
hyponatremia,"weakness (0.107), lethargy (0.064), nausea (0.062), confusion (0.053), dizziness (0.045), mental confusion (0.044), fatigue (0.039), diarrhea (0.038), vomiting (0.036), dehydration (0.034), seizures (0.029), coughing (0.023), low blood pressure (0.019), lightheadedness (0.017), constipation (0.017), anxiety (0.015), loss of appetite (0.014), weight loss (0.014), malaise (0.013), chills (0.012)"
hypothyroidism,"depression (0.040), sadness (0.040), nausea (0.036), weakness (0.026), anxiety (0.021), dizziness (0.021), lethargy (0.019), fainting (0.017), diarrhea (0.015), fatigue (0.014), vomiting (0.012), confusion (0.010), mental confusion (0.009), lightheadedness (0.009), malaise (0.009), racing heartbeat (0.009), constipation (0.008), seizures (0.007), chills (0.006), vertigo (0.005), discomfort (0.005), headache (0.005), dehydration (0.005), chest pressure (0.005), shortness of breath (0.005), numbness (0.004), leg pain (0.004), low blood pressure (0.004), bone loss (0.003), weight loss (0.003), slow heart rate (0.003), cough with phlegm (0.003), drooping of upper eyelid (0.003)"
insect bites and stings,"skin rash (0.193), redness (0.181), swelling (0.119), itching (0.103), lesion (0.030), fever (0.018), chills (0.018), malaise (0.014), night sweats (0.014), sore throat (0.011), red spots (0.010), bruising (0.010), stuffy nose (0.010), red rashes (0.010), fear (0.010)"
iron deficiency anemia,"iron deficiency (0.280), depression (0.084), sadness (0.084), bleeding (0.053), lethargy (0.049), fatigue (0.043), dizziness (0.039), weakness (0.034), lightheadedness (0.029), anxiety (0.024), malnutrition (0.022), difficulty swallowing (0.022), constipation (0.021), weight loss (0.020), restless legs syndrome (0.018), low blood pressure (0.016), nausea (0.015), headache (0.015), heavy or prolonged periods (0.013), leg pain during exercise (0.011)"
irritable bowel syndrome,"pain (0.283), nausea (0.253), diarrhea (0.250), abdominal pain (0.200), anxiety (0.088), cramping (0.074), sadness (0.073), vomiting (0.072), constipation (0.072), depression (0.072), discomfort (0.059), lower abdominal pain (0.033), acute episodes (0.032), drooping of upper eyelid (0.029), bone loss (0.027), loss of appetite (0.024), rectal pain (0.023), infection (0.023), seizures (0.023), dehydration (0.021), dizziness (0.020), crying (0.019), vertigo (0.019), abdominal distension (0.018), belching (0.018), weight loss (0.015), severe pain (0.015), tenderness (0.015), insomnia (0.014)"
kidney infection,"flank pain (0.413), pain (0.383), chills (0.287), nausea (0.257), fever (0.217), pain during urination (0.186), back pain (0.173), tenderness (0.149), vomiting (0.132), abdominal pain (0.058), blood in urine (0.057), infection (0.049), pain in lower abdomen (0.034), discomfort (0.034), diarrhea (0.023), fast heart rate (0.014), frequent urge to urinate (0.014), foul smelling urine (0.013), dehydration (0.013), fatigue (0.011), lower abdominal pain (0.011), malaise (0.011), headache (0.010), abdominal tenderness (0.009), abdominal discomfort (0.009), vaginal discharge (0.009), muscle pain (0.009), cramping (0.007), lethargy (0.007), leaking of urine (0.006), dark urine (0.006)"
kidney stone,"pain (0.608), flank pain (0.495), nausea (0.232), blood in urine (0.141), pain during urination (0.084), vomiting (0.083), chills (0.067), abdominal pain (0.065), back pain (0.050), tenderness (0.040), discomfort (0.019), groin pain (0.018), severe pain (0.013), fever (0.012), testicle pain (0.011), frequent urge to urinate (0.011), lower abdominal pain (0.011), dark urine (0.011), urinary retention (0.011), sharp pain (0.010), cyst (0.010), pain in lower abdomen (0.010), diarrhea (0.009), constipation (0.008), infection (0.007), pelvic pain (0.007), side pain (0.004), dull pain (0.004)"
liver cancer,"pain (0.259), nausea (0.128), abdominal pain (0.125), vomiting (0.092), fluid in the abdomen (0.077), weakness (0.076), yellow skin and eyes (0.064), confusion (0.057), lethargy (0.056), shortness of breath (0.047), mental confusion (0.045), diarrhea (0.042), fatigue (0.036), fever (0.035), vomiting blood (0.034), tenderness (0.034), pain in upper-right abdomen (0.028), dehydration (0.028), flank pain (0.027), fast heart rate (0.024)"
low back pain,"pain (0.463), back pain (0.411), numbness (0.075), tenderness (0.056), chronic back pain (0.055), weakness (0.053), neck pain (0.028), leg pain (0.025), incontinence (0.024), leaking of urine (0.023), flank pain (0.019), hip pain (0.018), discomfort (0.016), pain during urination (0.014), falling (0.013), sharp pain (0.012), severe pain (0.011), difficulty walking (0.010)"
lung cancer,"shortness of breath (0.129), coughing (0.108), weakness (0.086), lesion (0.046), lethargy (0.037), back pain (0.033), fever (0.032), fatigue (0.026), cough with phlegm (0.023), coughing up blood (0.022), nausea (0.022), infection (0.021), constipation (0.020), confusion (0.018), low oxygen in the body (0.017), malaise (0.016), lump (0.016), chronic cough (0.015), wheezing (0.015), fast heart rate (0.014), mental confusion (0.014), sharp pain (0.011), weight loss (0.010), dehydration (0.010), difficulty swallowing (0.010), dry cough (0.010), skin rash (0.009), chills (0.009)"
lupus,"pain (0.173), nausea (0.053), acute episodes (0.049), swelling (0.048), fever (0.037), diarrhea (0.034), abdominal pain (0.031), weakness (0.030), shortness of breath (0.030), chills (0.029), headache (0.024), joint pain (0.022), coughing (0.021), skin rash (0.021), seizures (0.020), fatigue (0.018), tenderness (0.018), cramping (0.015), lethargy (0.015), vomiting (0.014), infection (0.013), racing heartbeat (0.012), fast heart rate (0.009), dry cough (0.009), dizziness (0.009), cough with phlegm (0.008), flank pain (0.008), face rash (0.006)"
lyme disease,"headache (0.163), skin rash (0.163), fever (0.131), lethargy (0.124), weakness (0.112), chills (0.108), numbness (0.102), fatigue (0.100), nausea (0.090), pain (0.076), joint pain (0.067), neck pain (0.062), stiffness (0.056), infection (0.054), blurred vision (0.038), malaise (0.037), dizziness (0.035), redness (0.032), discomfort (0.029), night sweats (0.026)"
major depression,"depression (0.416), sadness (0.416), anxiety (0.222), thoughts of suicide (0.101), agitation (0.049), insomnia (0.035), weight loss (0.032), inability to feel pleasure (0.031), seizures (0.026), fast heart rate (0.026), poor appetite (0.024), hopelessness (0.024), loss of appetite (0.022), visual hallucinations (0.020), discomfort (0.020), tremor (0.019), racing thoughts (0.019), chronic back pain (0.016), loss of interest (0.016), hearing voices (0.016), crying (0.014), lightheadedness (0.013), constipation (0.012), delirium (0.012), substance abuse (0.011), pain during urination (0.009), falling (0.008), pain when coughing (0.008), guilt (0.008), pain worse at rest (0.008), difficulty concentrating (0.008), headache (0.008)"
melanoma,"weakness (0.113), confusion (0.068), mental confusion (0.055), lesion (0.053), nausea (0.045), lethargy (0.044), vomiting (0.034), fatigue (0.030), seizures (0.029), back pain (0.024), shortness of breath (0.018), numbness (0.016), dizziness (0.014)"
meningitis,"headache (0.450), fever (0.340), neck pain (0.205), nausea (0.157), stiffness (0.155), sensitivity to light (0.142), chills (0.134), stiff neck (0.063), back pain (0.057), vomiting (0.055), lethargy (0.046), infection (0.045), skin rash (0.043), confusion (0.041), weakness (0.037), coughing (0.035), severe headache (0.034), pain (0.034), seizures (0.033), sore throat (0.030), fatigue (0.029), malaise (0.023), dizziness (0.017), mental confusion (0.017), fear of loud sounds (0.014), diarrhea (0.013), night sweats (0.011), dry cough (0.011), ache (0.010), muscle pain (0.010)"
middle ear infection,"ear pain (0.694), inflammation of ear (0.158), sore throat (0.118), coughing (0.096), fever (0.069), nasal congestion (0.055), pain (0.053), ache (0.050), chills (0.049), headache (0.035), infection (0.029), redness (0.029), dizziness (0.020), leaked fluid out of blood vessels or an organ (0.017), cough with phlegm (0.015), runny nose (0.015), sinus pressure (0.014), sinus pain (0.014), ringing in the ears (0.008), discomfort (0.008)"
migraine,"headache (0.384), nausea (0.316), sensitivity to light (0.223), pain (0.217), vomiting (0.110), numbness (0.067), dizziness (0.062), fear of loud sounds (0.038), anxiety (0.037), neck pain (0.037), weakness (0.037), blurred vision (0.033), brief visual or sensory abnormality (0.028), depression (0.026), sadness (0.026), vertigo (0.021), chills (0.019), severe headache (0.018), seizures (0.017), lightheadedness (0.017), stiffness (0.013), double vision (0.013), hand numbness (0.008), eye pain (0.007), mental confusion (0.007), vision loss (0.006), throbbing headache (0.006), ache (0.006), crying (0.006), sharp pain (0.006), slurred speech (0.005), confusion (0.005), diarrhea (0.005), facial pain (0.005), sensitivity to sound (0.004), insomnia (0.004), severe pain (0.004), dehydration (0.004), partial loss of vision (0.004), stiff neck (0.004), difficulty speaking (0.003), persistent headache (0.003)"
miscarriage,"bleeding (0.471), vaginal bleeding (0.431), cramping (0.421), spotting (0.202), pain (0.149), abdominal pain (0.092), lower abdominal pain (0.038), nausea (0.037), dizziness (0.030), pelvic pain (0.027), lightheadedness (0.026), vaginal discharge (0.024), pain in lower abdomen (0.018), discomfort (0.015), pain during urination (0.014), cyst (0.013), irregular menstruation (0.009), cavity (0.007), blood in urine (0.007), severe pain (0.007), abdominal discomfort (0.007), sharp pain (0.006)"
mono,"sore throat (0.391), fever (0.280), pain (0.242), chills (0.192), lethargy (0.164), fatigue (0.155), coughing (0.111), difficulty swallowing (0.099), swelling (0.099), nausea (0.098), malaise (0.081), leaked fluid out of blood vessels or an organ (0.067), headache (0.066), painful swallowing (0.053), diarrhea (0.045), neck pain (0.045), redness (0.044), ear pain (0.042), enlarged neck lymph nodes (0.035), skin rash (0.035), fast heart rate (0.034), swollen lymph nodes (0.033), vomiting (0.033), discomfort (0.032), dry cough (0.029), infection (0.025), neck swelling (0.022), weakness (0.019), loss of appetite (0.018), stiffness (0.017), dizziness (0.017), tenderness (0.017)"
multiple myeloma,"back pain (0.070), fever (0.064), pain (0.055), weakness (0.052), lesion (0.046), coughing (0.040), diarrhea (0.035), chills (0.031), shortness of breath (0.025), abdominal pain (0.024), mental confusion (0.022), lethargy (0.021), cough with phlegm (0.020), hip pain (0.020), confusion (0.020), low blood pressure (0.019), leg pain (0.016), constipation (0.013)"
multiple sclerosis,"weakness (0.152), acute episodes (0.120), numbness (0.063), lethargy (0.039), seizures (0.021), fatigue (0.020), headache (0.020), leg pain (0.018), falling (0.018), incontinence (0.016), back pain (0.015), confusion (0.014), slurred speech (0.011), arm pain (0.011), double vision (0.011), difficulty walking (0.010), infection (0.010), blurred vision (0.010), neck pain (0.010), leaking of urine (0.010), leg numbness (0.010), mental confusion (0.009), lesion (0.008), hip pain (0.008), fast heart rate (0.008), diarrhea (0.007), constipation (0.007), muscle spasms (0.007), urinary retention (0.006), burning sensation (0.006), crying (0.006), hand numbness (0.005), weight loss (0.005), fever (0.005), difficulty swallowing (0.005), tremor (0.005), bruising (0.004), sensitivity to light (0.004), dehydration (0.004), problems with coordination (0.004), tenderness (0.004), hand pain (0.004), stiffness (0.004), insomnia (0.004), discomfort (0.004), difficulty raising the foot (0.004), nasal congestion (0.004), rapid involuntary eye movement (0.004), sleepiness (0.004), abnormality walking (0.004), vision loss (0.003), unsteady gait (0.003)"
myasthenia gravis,"weakness (0.158), difficulty swallowing (0.104), acute episodes (0.094), shortness of breath (0.083), double vision (0.077), drooping of upper eyelid (0.071), lethargy (0.067), coughing (0.056), fatigue (0.040), infection (0.029), fainting (0.022), low oxygen in the body (0.021), difficulty walking (0.021), slurred speech (0.020), incontinence (0.020), constipation (0.019), muscle weakness (0.018)"
neutropenia,"fever (0.344), chills (0.113), lethargy (0.085), fatigue (0.078), diarrhea (0.069), weakness (0.066), coughing (0.064), nausea (0.060), infection (0.050), vomiting (0.036), abdominal pain (0.031), malaise (0.031)"
obesity,"pain (0.167), nausea (0.060), sadness (0.042), depression (0.042), abdominal pain (0.035), tenderness (0.026), chills (0.026), diarrhea (0.024), shortness of breath (0.023), anxiety (0.023), back pain (0.020), vomiting (0.017), infection (0.016), leg pain (0.015), knee pain (0.014), swelling (0.012), chronic back pain (0.011), weakness (0.010), redness (0.009)"
osteoarthritis,"pain (0.175), knee pain (0.074), sadness (0.073), depression (0.073), hip pain (0.050), swelling (0.047), back pain (0.041), leg pain (0.038), bone loss (0.028), leaking of urine (0.024), anxiety (0.022), chronic back pain (0.021), shoulder pain (0.019), constipation (0.019), incontinence (0.015), tenderness (0.012), restless legs syndrome (0.011), stiffness (0.011)"
osteoporosis,"pain (0.186), back pain (0.088), depression (0.040), sadness (0.040), hip pain (0.039), weakness (0.034), lesion (0.028), anxiety (0.020), vertigo (0.017), constipation (0.016), numbness (0.016), leg pain (0.015)"
ovarian cancer,"pain (0.286), nausea (0.178), abdominal pain (0.147), vomiting (0.106), fever (0.054), weakness (0.053), fluid in the abdomen (0.051), diarrhea (0.050), constipation (0.044), chills (0.039), discomfort (0.031), shortness of breath (0.029), bowel obstruction (0.028), lethargy (0.024), fatigue (0.021), cramping (0.020), tenderness (0.019), dehydration (0.018), skin rash (0.015), crying (0.015), infection (0.013)"
ovarian cyst,"pain (0.785), nausea (0.303), cyst (0.198), abdominal pain (0.192), tenderness (0.115), vomiting (0.089), pelvic pain (0.087), diarrhea (0.069), lower abdominal pain (0.067), chills (0.058), vaginal bleeding (0.049), cramping (0.043), bleeding (0.039), vaginal discharge (0.037), spotting (0.036), pain during urination (0.029), discomfort (0.025), pain in lower abdomen (0.025), sharp pain (0.022), flank pain (0.021), constipation (0.018), fever (0.016), anxiety (0.013), pain in right lower abdomen (0.011), crying (0.010)"
pancreatitis,"pain (0.709), nausea (0.328), abdominal pain (0.326), vomiting (0.196), pain in upper abdomen (0.158), diarrhea (0.095), acute episodes (0.069), chills (0.055), tenderness (0.028), cyst (0.016), upper abdominal pain (0.015), vomiting blood (0.012), weight loss (0.009), depression (0.009), loss of appetite (0.009), sadness (0.009), fever (0.008), constipation (0.008), flank pain (0.008), severe pain (0.008), yellow skin and eyes (0.007), abdominal tenderness (0.006), abdominal discomfort (0.006)"
parkinson's disease,"weakness (0.075), confusion (0.049), tremor (0.039), mental confusion (0.035), lethargy (0.027), constipation (0.022), low blood pressure (0.017), agitation (0.017), hip pain (0.016), unsteady gait (0.012), delirium (0.011), slurred speech (0.011), falling (0.010), difficulty swallowing (0.008), fainting (0.008), visual hallucinations (0.008), tremor at rest (0.008), infection (0.008), coughing (0.007), dizziness (0.006), shortness of breath (0.006), difficulty walking (0.006), leaking of urine (0.006), urinary retention (0.006), malaise (0.005), cough with phlegm (0.005), incontinence (0.005), confusion in the evening hours (0.004), fatigue (0.004), hand tremor (0.004), failure to thrive (0.003), rectal pain (0.003), weight loss (0.003), tenderness (0.003), stiffness (0.003), difficulty speaking (0.003), difficulty breathing (0.003), restless legs syndrome (0.003), chronic cough (0.003)"
pink eye,"redness (0.318), eye redness (0.271), eye pain (0.163), itching (0.135), swelling (0.133), coughing (0.104), sore throat (0.088), discomfort (0.082), eye irritation (0.069), nasal congestion (0.048), fever (0.041), sensitivity to light (0.039), blurred vision (0.038), leaked fluid out of blood vessels or an organ (0.035), skin rash (0.028), cough with phlegm (0.027), headache (0.025), chills (0.024), eye discharge (0.021), infection (0.017), stuffy nose (0.011), swelling of the surface of the eye (0.010), dryness (0.010), facial swelling (0.010), watery eyes (0.010)"
plantar fasciitis,"heel pain (0.712), pain (0.485), foot pain (0.233), swelling (0.092), ankle pain (0.083), tenderness (0.058), limping (0.017), leg pain (0.017), bruising (0.013), sharp pain (0.010), severe pain (0.009), blood in urine (0.009), difficulty raising the foot (0.008), redness (0.008), mild pain (0.007), scar (0.007), blister (0.007)"
pleural effusion,"shortness of breath (0.186), coughing (0.116), low oxygen in the body (0.047), lethargy (0.036), fluid in the abdomen (0.032), cough with phlegm (0.032), infection (0.025), weakness (0.024), fluid in the lungs (0.023), fever (0.023), dry cough (0.022), fatigue (0.022), wheezing (0.021), collapse (0.020)"
pneumonia,"coughing (0.402), fever (0.208), shortness of breath (0.156), cough with phlegm (0.138), chills (0.091), lethargy (0.063), low oxygen in the body (0.060), weakness (0.043), wheezing (0.042), fatigue (0.037), infection (0.034), dry cough (0.030), malaise (0.030), fast heart rate (0.027), confusion (0.024), phlegm (0.018), respiratory distress (0.018), low blood pressure (0.017), fast breathing (0.016), chest pain worsened by breathing (0.014), mental confusion (0.014), coughing up blood (0.013), diarrhea (0.012), sore throat (0.010), difficulty breathing (0.010), night sweats (0.009), persistent cough (0.009), fluid in the lungs (0.008)"
pneumothorax,"shortness of breath (0.116), pain (0.086), rib pain (0.053), coughing (0.050), chest pain worsened by breathing (0.033), discomfort (0.022), bruising (0.018), collapse (0.017), back pain (0.014), seizures (0.013), fast heart rate (0.012), chest discomfort (0.011), cavity (0.010), infection (0.009), wheezing (0.009), difficulty breathing (0.009), shoulder pain (0.009), confusion (0.008), respiratory distress (0.008), chronic cough (0.008)"
polycystic ovary syndrome,"pain (0.412), nausea (0.177), cramping (0.080), abdominal pain (0.072), diarrhea (0.069), vaginal bleeding (0.061), pelvic pain (0.060), depression (0.059), sadness (0.058), dizziness (0.054), chills (0.051), bleeding (0.041), vomiting (0.040), anxiety (0.039), cyst (0.039), headache (0.038), lightheadedness (0.038), tenderness (0.033), irregular menstruation (0.030), sharp pain (0.030)"
